,locations,timeOfDay,stayTime
1220,Colombo City Center (CCC),Night,45
1221,Galle Face Green,Morning,45
1222,Galle Face Green,Evening,45
1223,Galle Face Green,Night,45
1230,Independence Memorial Hall,Morning,45
1231,Independence Memorial Hall,Evening,45
1232,Independence Memorial Hall,Night,45
1239,Kelaniya Raja Maha Viharaya,Morning,45
1240,Kelaniya Raja Maha Viharaya,Evening,45
1241,Kelaniya Raja Maha Viharaya,Night,45
1245,Viharamahadevi Park,Morning,60
1246,Viharamahadevi Park,Evening,60
1254,Pettah Market,Morning,45
1255,Pettah Market,Evening,45
1256,Pettah Market,Night,45
1260,One Galle Face ,Morning,45
1261,One Galle Face ,Evening,60
1262,One Galle Face ,Night,60
1272,National Museum of Colombo,Morning,200
1286,Kelaniya Raja Maha Viharaya,Night,200
1287,Kailasanathar Swamy Kovil,Morning,120
1290,Viharamahadevi Park,Morning,200
1305,One Galle Face ,Morning,60
1306,One Galle Face ,Evening,120
1307,One Galle Face ,Night,200
1308,Colombo City Center (CCC),Morning,60
1309,Colombo City Center (CCC),Evening,120
1312,Galle Face Green,Evening,60
1313,Galle Face Green,Night,60
1315,Gangaramaya Temple,Evening,60
1317,National Museum of Colombo,Morning,45
1318,National Museum of Colombo,Evening,60
1321,Independence Memorial Hall,Evening,60
1324,Dutch Museum,Evening,60
1327,National Art Gallery,Evening,60
1330,Kelaniya Raja Maha Viharaya,Evening,60
1336,Viharamahadevi Park,Evening,60
1337,Viharamahadevi Park,Night,45
1402,Galle Face Green,Evening,45
1403,Galle Face Green,Night,60
